date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:14	58644/58644	---M--	200	added ('OK')	image/jpeg	etag:%22cb7366df2ab8d8cf827a3806b7f026d5%22	https://zyroscreenshot.s3.us-east-2.amazonaws.com/1616578164208-iyf8k.jpeg	C:/My%20Web%20Sites/code/zyroscreenshot.s3.us-east-2.amazonaws.com/1616578164208-iyf8k.jpg	(from https://napchaivietthai.com.vn/)
20:14:15	19208/19208	---M--	200	added ('OK')	image/jpeg	etag:%22ad62e88af5a5ceded2f411b3c3897787%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/img-YX45LXjyVBCnoB2O.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/img-YX45LXjyVBCnoB2O.jpg	(from https://napchaivietthai.com.vn/)
20:14:15	55071/55071	---M--	200	added ('OK')	image/jpeg	etag:%22abd1c2a23cf32794333b1a6cccfda6f3%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/img-d95N37a7RDsyVEZn.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/img-d95N37a7RDsyVEZn.jpg	(from https://napchaivietthai.com.vn/)
20:14:15	13933986/13933986	---M--	200	added ('OK')	image/png	etag:%2295c32239d808faa5abf3ddb59da9c958-2%22	https://assets.zyrosite.com/gallery-assets/Frame-mk3jLDyrZbF7LXO8.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/gallery-assets/Frame-mk3jLDyrZbF7LXO8.png	(from https://napchaivietthai.com.vn/)
20:14:15	360238/360238	---M--	200	added ('OK')	image/jpeg	etag:%22213a70ab4f5679cabf1c76632f841f50%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/N-p_nh-YBgDlloZ8gFr8Pe9.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/N-p_nh-YBgDlloZ8gFr8Pe9.jpg	(from https://napchaivietthai.com.vn/)
20:14:15	17909/17909	---M--	200	added ('OK')	image/png	etag:%223c8d5dd7209baf38bb5e5bdb764e58e3%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/napnhom-YBgV1oEZ1ESRZL3Z.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/napnhom-YBgV1oEZ1ESRZL3Z.png	(from https://napchaivietthai.com.vn/)
20:14:16	363496/363496	---M--	200	added ('OK')	image/jpeg	etag:%22dc53ae8c8478874aa79ab06859a81c7a%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/vi-n-ch-n-Aq2xeeG90xiMO04k.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/vi-n-ch-n-Aq2xeeG90xiMO04k.jpg	(from https://napchaivietthai.com.vn/)
20:14:16	22959/22959	---M--	200	added ('OK')	image/png	etag:%220b3e73126a38890a9f28400e2a9f87b5%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/ta-i_xu-ng-removebg-preview-m6LVr71wLvIg5gKP.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/ta-i_xu-ng-removebg-preview-m6LVr71wLvIg5gKP.png	(from https://napchaivietthai.com.vn/)
20:14:16	396500/396500	---M--	200	added ('OK')	image/jpeg	etag:%22a99b56630419c6c20dfa91fe1fb97f0e%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/m-u-v-ng-YKbV11MP3DFRJLP0.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/m-u-v-ng-YKbV11MP3DFRJLP0.jpg	(from https://napchaivietthai.com.vn/)
20:14:16	251526/251526	---M--	200	added ('OK')	image/jpeg	etag:%22f77d8a8f9081761ab9ece4b9ca9aa7e9%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/n-p-h-Yle722Br29uee4Eg.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/n-p-h-Yle722Br29uee4Eg.jpg	(from https://napchaivietthai.com.vn/)
20:14:16	197294/197294	---M--	200	added ('OK')	image/jpeg	etag:%225ce1d3f7b4f74665cfb8a3e1df017f15%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/img-Awv0JDW6o8UZPk7G.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/img-Awv0JDW6o8UZPk7G.jpg	(from https://napchaivietthai.com.vn/)
20:14:17	20810/20810	---M--	200	added ('OK')	image/png	etag:%223bf905e0f6907880242057389f3d0e31%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/unnamed-YX40zn92vZfDgL7Z.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/unnamed-YX40zn92vZfDgL7Z.png	(from https://napchaivietthai.com.vn/)
20:14:17	384920/384920	---M--	200	added ('OK')	image/jpeg	etag:%229ba137510651450a7dbe6e150768d341%22	https://assets.zyrosite.com//A8576OQ756ujLrWl/N-p-nh-m-c-c-m-u-YrDO11PX2qcbl84v.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/N-p-nh-m-c-c-m-u-YrDO11PX2qcbl84v.jpg	(from https://napchaivietthai.com.vn/)
